op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,Dārzciems,Strautu 23,1,42.3,3.0,5.0,M. ģim.,Brick,All amenities,33500.0,56.94016,24.18681678377801
For sale,Teika,Ropažu 49,5,142.0,2.0,7.0,Specpr.,Brick,All amenities,132000.0,56.980215,24.18093520807027
For sale,centrs,Birznieka-Upīša 10,2,32.0,1.0,6.0,Renov.,Masonry,All amenities,76800.0,56.9488745,24.12660274460919
For sale,Imanta,Jūrmalas g. 59,1,46.0,8.0,12.0,104.,Panel,All amenities,46000.0,56.952975,24.0166971
For sale,Ziepniekkalns,"Valdeķu iela 50 k-2, Rīga",1,32.0,2.0,9.0,602.,Brick-Panel,All amenities,34500.0,56.9039544,24.094960941927194
For sale,Ziepniekkalns,Ozolciema 22,3,79.0,8.0,10.0,119.,Panel,All amenities,74000.0,56.8994355,24.08756831277017
For sale,centrs,Elizabetes 21a,4,127.0,2.0,5.0,Renov.,Masonry,All amenities,400000.0,56.9586159,24.10666655123931
For sale,Vecmīlgrāvis,Ziemeļblāzmas 42,2,50.0,2.0,9.0,602.,Panel,All amenities,51000.0,57.03811930000001,24.09761493635783
For sale,centrs,Briāna 4,2,52.4,1.0,5.0,Renov.,Masonry,All amenities,86460.0,56.9629058,24.128417603035807
For sale,Dārzciems,Zeltiņu 45,2,45.0,2.0,2.0,Staļina,Brick,All amenities,39500.0,56.9465912,24.17507065
For sale,centrs,Blaumaņa 12,3,66.0,3.0,6.0,Renov.,Masonry,All amenities,178200.0,56.9548306,24.1221141
For sale,centrs,Rūdolfa 1,1,26.0,5.0,6.0,P. kara,Brick,All amenities,45000.0,56.9620224,24.15219394772615
For sale,Purvciems,Dzelzavas 68,2,56.0,15.0,15.0,Specpr.,Panel,All amenities,72600.0,56.95650225,24.186778306972908
For sale,Ķengarags,Maskavas 250 k-3,1,30.0,2.0,5.0,Hrušč.,Brick,All amenities,30000.0,56.91595235,24.17405977491909
For sale,Imanta,"Kurzemes prospekts 18, Rīga",2,46.0,4.0,5.0,Specpr.,Panel-Brick,All amenities,56999.0,56.95848885,24.033799199266504
For sale,centrs,Brīvības iela 82,4,139.0,6.0,7.0,Renov.,Masonry,All amenities,144000.0,56.9591645,24.1274612
For sale,Vecrīga,Jēkaba 26/28,1,52.0,5.0,5.0,P. kara,Masonry,All amenities,115000.0,56.952698,24.105147100000003
For sale,Dzegužkalns,Iecavas 1,2,59.0,4.0,5.0,Jaun.,Panel-Brick,All amenities,105850.0,56.955558700000005,24.05068002607817
For sale,Ziepniekkalns,Putnu 31,3,79.0,1.0,6.0,Jaun.,Panel,All amenities,119000.0,56.912242000000006,24.1087866
For sale,Purvciems,Zvaigznāja g. 3,2,51.0,3.0,5.0,LT proj.,Panel,All amenities,58000.0,56.9527936,24.2063812
For sale,Purvciems,Deglava 61,4,91.0,3.0,9.0,119.,Panel,All amenities,91000.0,56.9509836,24.18163572456613
For sale,centrs,Miera 86,2,43.0,1.0,6.0,Renov.,Brick,All amenities,62000.0,56.96657629999999,24.1337504
For sale,Pļavnieki,Salnas 16,2,50.0,3.0,9.0,602.,Panel,All amenities,51000.0,56.94222435,24.22437075551308
For sale,Citi,Pastendes 13,1,27.0,1.0,2.0,Specpr.,Wood,Partial amenities,17000.0,56.91345935,24.0886548221875
For sale,Pļavnieki,Tīnūžu 10,3,65.0,3.0,9.0,602.,Panel,All amenities,54000.0,56.9342176,24.207067659687628
For sale,Iļģuciems,Stūres 9,3,70.0,4.0,5.0,LT proj.,Panel,All amenities,58200.0,56.9713644,24.0688642775663
For sale,centrs,"Katrīnas dambis 20a, Rīga",2,50.0,3.0,4.0,P. kara,Masonry,All amenities,48000.0,56.97148095,24.1023433
For sale,Citi,"Valentīna iela 16 k-2, Rīga",3,79.0,1.0,4.0,P. kara,Masonry,All amenities,147000.0,56.9418471,24.05529553341503
For sale,centrs,Miera 97,1,30.0,1.0,5.0,Hrušč.,Brick,All amenities,35500.0,56.96657629999999,24.1337504
For sale,Ziepniekkalns,Vienības g. 186a,2,86.0,5.0,5.0,Jaun.,Panel,All amenities,125000.0,56.9012048,24.080719031939967
For sale,centrs,Kalniņa 6,3,68.0,5.0,5.0,Renov.,Masonry,All amenities,260000.0,56.9496478,24.1208218
For sale,Mežaparks,Ķempes 9,3,72.0,5.0,12.0,Specpr.,Brick,All amenities,116000.0,56.9950137,24.169464241912195
For sale,Ziepniekkalns,Bruknas 14,3,77.0,1.0,10.0,119.,Panel,All amenities,72700.0,56.9019142,24.088840549596863
For sale,Dzegužkalns,Embūtes 22,3,82.0,1.0,2.0,Priv. m.,Wood,Partial amenities,31000.0,56.96417145,24.0692936
For sale,centrs,Cēsu 8,3,87.0,4.0,6.0,P. kara,Masonry,All amenities,135000.0,56.96408475,24.13806333019737
For sale,Maskavas priekšpilsēta,Jēkabpils 16,1,31.0,2.0,3.0,P. kara,Brick,All amenities,24750.0,56.9444497,24.141638
For sale,Purvciems,Stirnu 22,2,38.0,2.0,5.0,Specpr.,Brick-Panel,All amenities,27300.0,56.956179500000005,24.1835724
For sale,centrs,Blaumaņa 12,1,35.0,2.0,7.0,Renov.,Masonry,All amenities,79580.0,56.9548306,24.1221141
For sale,Āgenskalns,Kalnciema 106,1,36.0,5.0,5.0,103.,Brick-Panel,All amenities,32000.0,56.93613739999999,24.04305567357739
For sale,Pļavnieki,Zemes 13,1,44.0,9.0,9.0,M. ģim.,Panel,All amenities,31000.0,56.9421256,24.20111815548401
For sale,centrs,Tomsona 2,3,94.0,4.0,5.0,P. kara,Masonry,All amenities,210000.0,56.96346405,24.12405597786933
For sale,Zolitūde,Anniņmuižas 13,4,149.0,12.0,12.0,Specpr.,Brick-Panel,All amenities,260000.0,56.94568225,24.014682180124165
For sale,Maskavas priekšpilsēta,Rēznas 10b,2,37.0,5.0,5.0,Hrušč.,Brick,All amenities,41000.0,56.93595085,24.16322933766472
For sale,Imanta,Anniņmuižas bulvāris 38,3,81.8,5.0,18.0,Jaun.,Brick-Panel,All amenities,117000.0,56.96112105,24.018216795250048
For sale,Āgenskalns,Sabiles 8,2,71.0,1.0,3.0,Jaun.,Masonry,All amenities,105100.0,56.93945279999999,24.0668604
For sale,Dzegužkalns,Dzirciema 7/1,2,50.0,2.0,5.0,LT proj.,Panel,All amenities,55000.0,56.951444900000006,24.0540069
For sale,Purvciems,Pūces 19,2,45.0,3.0,5.0,Jaun.,Masonry,All amenities,85000.0,56.95632235,24.18597855896561
For sale,Āgenskalns,Valentīna 16,3,124.0,1.0,1.0,Jaun.,Masonry,All amenities,147000.0,56.94107515,24.053728946890438
For sale,Purvciems,Stirnu 20,3,79.0,1.0,4.0,Jaun.,Masonry,All amenities,142000.0,56.9650621,24.195293300000003
For sale,Purvciems,Pūces 19,3,65.0,4.0,5.0,Jaun.,Masonry,All amenities,116000.0,56.95632235,24.18597855896561
For sale,centrs,Strēlnieku 13,3,73.0,5.0,5.0,Renov.,Brick,All amenities,162000.0,56.9589644,24.1081412
For sale,Citi,Pērnavas 39,2,34.0,2.0,5.0,P. kara,Masonry,Partial amenities,30000.0,56.9555075,24.153498939456263
For sale,Ķengarags,Maskavas 415,3,60.0,5.0,9.0,467.,Panel,All amenities,57800.0,56.8597884,24.3083417
For sale,Purvciems,Dzelzavas 37,2,49.0,4.0,9.0,602.,Panel,All amenities,55300.0,56.95922675,24.182087016206157
For sale,Purvciems,Stirnu 33,2,48.0,3.0,9.0,602.,Panel,All amenities,55000.0,56.96007289999999,24.18609287102933
For sale,Purvciems,Ilūkstes 101,1,37.0,3.0,5.0,103.,Brick,All amenities,33000.0,56.9521699,24.195695298341715
For sale,Pļavnieki,Zemes 9,1,41.0,3.0,9.0,M. ģim.,Panel,All amenities,28800.0,56.94229549999999,24.19988595647548
For sale,centrs,Duntes 1,2,55.0,1.0,3.0,P. kara,Brick-Panel,All amenities,69000.0,56.97634575,24.13484276819448
For sale,centrs,Ieroču 10,1,26.0,1.0,5.0,P. kara,Brick,All amenities,25000.0,56.9750877,24.14057747544411
For sale,Mežaparks,"Viestura prospekts 51, Rīga",1,35.0,5.0,9.0,Specpr.,Brick,All amenities,27990.0,57.00236135,24.12751325
For sale,Imanta,"Kurzemes prospekts 6, Rīga",3,60.0,4.0,5.0,LT proj.,Panel,All amenities,51000.0,56.955084150000005,24.03415899119561
For sale,Citi,Lēpju 5,2,46.0,2.0,5.0,Specpr.,Brick,All amenities,36000.0,57.04141455,24.02751815
For sale,Ziepniekkalns,Kaplavas 5,3,99.0,4.0,6.0,Jaun.,Panel,All amenities,128000.0,56.90846935,24.07867741283578
For sale,centrs,M. Piena 8,3,51.0,4.0,4.0,Renov.,Masonry,All amenities,95000.0,56.9701058,24.1047657
For sale,centrs,Alūksnes 2,2,48.0,3.0,5.0,Specpr.,Masonry,All amenities,68000.0,56.96925335,24.098869397266608
For sale,Imanta,"Kurzemes prospekts 92, Rīga",2,50.0,1.0,5.0,LT proj.,Panel-Brick,All amenities,40800.0,56.9692832,24.0143759
For sale,Ziepniekkalns,Ozolciema 40a,2,49.0,6.0,11.0,Specpr.,Brick-Panel,All amenities,63000.0,56.90189495,24.096458169915145
For sale,Pļavnieki,Pļavnieku 5,2,51.0,6.0,9.0,602.,Panel,All amenities,54000.0,56.94249375,24.210727636044663
For sale,Mežaparks,"Visbijas prospekts 45, Rīga",3,82.0,2.0,3.0,Jaun.,Masonry,All amenities,190000.0,56.9955724,24.14577405
For sale,Imanta,"Kurzemes prospekts 94, Rīga",3,62.0,3.0,9.0,602.,Panel,Without amenities,54990.0,56.9688345,24.0140589
For sale,Ziepniekkalns,Komētas 34,4,141.0,4.0,4.0,Jaun.,Panel,All amenities,199950.0,56.914968,24.12289
For sale,centrs,Brīvības iela 168,4,172.0,6.0,7.0,Specpr.,Panel-Brick,All amenities,247000.0,56.96580055,24.14420601500065
For sale,Ziepniekkalns,Valdeķu 17,2,49.0,3.0,5.0,Specpr.,Brick,All amenities,47000.0,56.9145946,24.09608455
For sale,Āgenskalns,Tapešu 23,2,49.0,4.0,5.0,LT proj.,Brick,All amenities,38000.0,56.9483586,24.047899511940347
For sale,centrs,Klijānu 16,3,79.0,7.0,9.0,Jaun.,Masonry,All amenities,150000.0,56.9742195,24.14835103820881
For sale,Purvciems,Staiceles 1,3,64.0,5.0,9.0,602.,Panel,All amenities,76000.0,56.9586743,24.1667048
For sale,Ziepniekkalns,Ozolciema 28,1,35.0,7.0,9.0,602.,Panel,All amenities,38000.0,56.89934935,24.09641714069993
For sale,Vecmīlgrāvis,Rinkas 1/1,2,50.0,5.0,5.0,LT proj.,Panel,All amenities,32000.0,57.031977000000005,24.1014613
For sale,Citi,Ogļu 30,3,100.0,1.0,3.0,Jaun.,Masonry,All amenities,300000.0,56.9606804,24.08183636276761
For sale,Citi,Ogļu 32,3,130.0,4.0,4.0,Renov.,Masonry,All amenities,450000.0,56.9608406,24.0817647913358
For sale,centrs,Dzirnavu 6,3,77.0,3.0,4.0,Renov.,Masonry,All amenities,225000.0,56.9612002,24.107539410990757
For sale,centrs,Dzirnavu 6,3,103.0,1.0,4.0,Renov.,Masonry,All amenities,268000.0,56.9612002,24.107539410990757
For sale,centrs,Dzirnavu 6,4,96.0,3.0,4.0,Renov.,Masonry,All amenities,279000.0,56.9612002,24.107539410990757
For sale,centrs,Dzirnavu 6,2,56.0,1.0,4.0,Renov.,Masonry,All amenities,156000.0,56.9612002,24.107539410990757
For sale,Citi,Ogļu 30,3,140.0,3.0,3.0,Jaun.,Masonry,All amenities,350000.0,56.9606804,24.08183636276761
For sale,centrs,Dzirnavu 6,4,97.0,2.0,4.0,Renov.,Masonry,All amenities,250000.0,56.9612002,24.107539410990757
For sale,Citi,Zvejnieku 24,2,72.0,1.0,3.0,Jaun.,Masonry,All amenities,240000.0,56.9595849,24.0798651223904
For sale,Citi,Zvejnieku 24,2,70.0,1.0,3.0,Jaun.,Masonry,All amenities,225000.0,56.9595849,24.0798651223904
For sale,Citi,Ogļu 32,3,79.0,1.0,4.0,Renov.,Masonry,All amenities,260000.0,56.9608406,24.0817647913358
For sale,Citi,Ogļu 30,3,99.0,2.0,3.0,Jaun.,Masonry,All amenities,330000.0,56.9606804,24.08183636276761
For sale,Dārzciems,Nīcgales 52,3,68.0,5.0,5.0,103.,Brick-Panel,All amenities,80000.0,56.9505884,24.1734239
For sale,Purvciems,Ūnijas 67,3,81.8,5.0,6.0,Jaun.,Panel,All amenities,152966.0,56.9651555,24.178322491196127
For sale,Purvciems,Ūnijas 67,3,88.4,6.0,6.0,Jaun.,Panel,All amenities,165308.0,56.9651555,24.178322491196127
For sale,centrs,Vesetas 32,2,55.0,7.0,12.0,Specpr.,Brick,All amenities,78950.0,56.97368625,24.13110272092923
For sale,Purvciems,Ķeguma 60,1,40.0,2.0,5.0,M. ģim.,Panel,All amenities,36750.0,56.96471700000001,24.196298448895
For sale,centrs,Ganu 4,5,145.0,4.0,5.0,P. kara,Masonry,All amenities,216000.0,56.96145915,24.109292804099898
For sale,Maskavas priekšpilsēta,Maskavas 95,3,61.0,4.0,4.0,P. kara,Masonry,All amenities,39000.0,56.8597884,24.3083417
For sale,Citi,Bauskas 33,3,98.0,5.0,7.0,Jaun.,Panel-Brick,All amenities,125000.0,56.92102495,24.09646372356293
For sale,Vecmīlgrāvis,Baltāsbaznīcas 33,2,48.0,1.0,3.0,Hrušč.,Brick,All amenities,44500.0,57.03627125,24.08894255
For sale,Citi,Rusova 24,1,43.0,3.0,5.0,M. ģim.,Panel,All amenities,32500.0,56.98754535000001,24.17080294016195
For sale,Vecmīlgrāvis,Gliemežu 5,1,38.0,2.0,5.0,Specpr.,Brick-Panel,All amenities,27500.0,57.037386700000006,24.0884618
For sale,Vecmīlgrāvis,"Vecmīlgrāvja 1. līnija 37, Rīga",3,58.0,5.0,5.0,LT proj.,Panel,All amenities,34500.0,57.0312186,24.101581099999997
For sale,Zolitūde,"Imantas 16. līnija 7, Rīga",3,83.0,7.0,9.0,119.,Panel-Brick,All amenities,64000.0,56.94567445,24.008194575517663
For sale,centrs,Republikas laukums 3,3,126.0,6.0,6.0,Jaun.,Masonry,All amenities,273000.0,56.9552522,24.0999991251943
For sale,Sarkandaugava,Viestura pr. 59,1,28.0,7.0,9.0,Specpr.,Brick-Panel,All amenities,27900.0,56.998436600000005,24.1328951
For sale,Citi,Dzērvju 3,4,80.0,9.0,9.0,467.,Panel,All amenities,79000.0,56.93086485,24.16502786880196
For sale,Vecmīlgrāvis,Kalngales 1,2,51.0,6.0,9.0,602.,Panel,All amenities,53000.0,57.03824475,24.09934235822412
For sale,Ziepniekkalns,Ozolciema 18,2,58.0,4.0,9.0,119.,Panel,All amenities,63000.0,56.89859735,24.08767079999982
For sale,Iļģuciems,Grodņas 1a,1,26.0,1.0,2.0,P. kara,Wood,All amenities,14900.0,56.9638561,24.06488278575613
For sale,Pļavnieki,Rudens 8,4,78.0,7.0,9.0,602.,Panel,All amenities,88600.0,56.93766455,24.19829945946098
For sale,centrs,Sadovņikova 17,2,50.0,4.0,5.0,P. kara,Masonry,All amenities,67000.0,56.9424281,24.131972
For sale,Purvciems,Vējavas 12,1,39.0,1.0,5.0,M. ģim.,Panel,All amenities,37500.0,56.95697915,24.16946466167549
For sale,Purvciems,Deglava 57,4,98.0,5.0,6.0,119.,Panel,All amenities,85500.0,56.951508200000006,24.17856285
For sale,centrs,Hospitāļu 15,2,46.0,2.0,5.0,P. kara,Masonry,All amenities,55000.0,56.9706361,24.1362455
For sale,Teika,Caunes 10,3,86.0,6.0,7.0,Specpr.,Brick,All amenities,99900.0,56.98133745,24.187762102762125
For sale,Mežciems,Biķernieku 102,3,74.0,3.0,16.0,104.,Panel,All amenities,63000.0,56.95996775,24.2349046
For sale,Zolitūde,Ruses 7,1,46.0,9.0,9.0,119.,Panel,All amenities,47000.0,56.9478154,24.00446361330647
For sale,Iļģuciems,Riekstu 11,4,95.0,4.0,5.0,Jaun.,Brick-Panel,All amenities,127000.0,56.96791915,24.06364017328768
For sale,Purvciems,Astras 8,2,63.0,4.0,24.0,Jaun.,Panel-Brick,All amenities,150000.0,56.952452,24.188248
For sale,Teika,Vidrižu 4,2,53.0,2.0,9.0,Specpr.,Brick,All amenities,52000.0,56.9788671,24.1774824079002
For sale,Ķengarags,Lokomotīves 60,2,50.0,1.0,5.0,LT proj.,Panel,All amenities,38300.0,56.90699225,24.20361426328237
For sale,centrs,Mēness 11,2,37.0,2.0,3.0,P. kara,Brick,Partial amenities,35800.0,56.96659455,24.139699235782057
For sale,Mežciems,"Kaivas iela 50-36d, Rīga",1,34.0,1.0,5.0,Jaun.,Masonry,All amenities,45200.0,56.9541725,24.2443253
For sale,Ziepniekkalns,Ozolciema 16/6,4,90.0,6.0,10.0,119.,Panel,All amenities,89000.0,56.8990307,24.0785989
For sale,centrs,Valmieras 28,4,91.0,2.0,5.0,Renov.,Masonry,All amenities,125000.0,56.95198235,24.15077437218604
For sale,centrs,Strēlnieku 19,3,79.0,1.0,3.0,P. kara,Brick,All amenities,135000.0,56.96130605000001,24.11058219480416
For sale,Pļavnieki,Rembates 8,2,53.0,4.0,10.0,Jaun.,Brick-Panel,All amenities,78000.0,56.9407458,24.23010772778737
For sale,Purvciems,Ieriķu 58,1,39.0,2.0,9.0,Specpr.,Brick-Panel,All amenities,37500.0,56.9655674,24.183004313625368
For sale,centrs,Miera 80,2,50.0,2.0,6.0,Specpr.,Brick,All amenities,85000.0,56.96657629999999,24.1337504
For sale,Imanta,Anniņmuižas bulvāris 38,2,64.0,6.0,18.0,Jaun.,Brick-Panel,All amenities,89500.0,56.96112105,24.018216795250048
For sale,centrs,"Pulkveža brieža iela 9 k. 1, Rīga",3,80.0,2.0,7.0,Jaun.,Masonry,All amenities,158000.0,56.9602287,24.1053815
For sale,centrs,Birznieka-Upīša 18,3,113.0,1.0,6.0,Renov.,Masonry,All amenities,195000.0,56.94910529999999,24.12815679383747
For sale,centrs,"Pulkveža brieža iela 35, Rīga",1,37.0,4.0,7.0,Jaun.,Masonry,All amenities,84000.0,56.9679821,24.1065785
For sale,Citi,"Čiekurkalna 2. šķērslīnija 6, Rīga",1,41.0,2.0,3.0,Jaun.,Brick-Panel,All amenities,58500.0,56.9842178,24.16549765
For sale,Teika,Burtnieku 36a,3,80.0,4.0,5.0,Jaun.,Panel-Brick,All amenities,119000.0,56.9670442,24.1820249
For sale,Maskavas priekšpilsēta,Ludzas 36,2,42.0,4.0,6.0,P. kara,Masonry,Partial amenities,27900.0,56.94060665000001,24.14463560804588
For sale,Āgenskalns,Liepājas 60,2,47.0,2.0,2.0,Renov.,Wood,All amenities,75200.0,56.9292821,24.0641891
For sale,Imanta,Zentenes 18,3,62.0,3.0,9.0,602.,Panel,All amenities,51000.0,56.9618626,24.003491021455982
For sale,Purvciems,Ieriķu 25,2,57.0,4.0,5.0,103.,Brick-Panel,All amenities,65000.0,56.96621605,24.175156272290803
For sale,Citi,Velkoņu 2,2,54.0,2.0,5.0,103.,Brick,All amenities,45500.0,57.03301815,24.03862623156289
For sale,centrs,Vīlandes 16,3,90.0,2.0,6.0,Renov.,Masonry,All amenities,258000.0,56.9613741,24.1021747
For sale,centrs,Barona 25,4,99.0,6.0,6.0,P. kara,Masonry,All amenities,95000.0,56.95275039999999,24.124026
For sale,centrs,Stabu 6,3,70.0,5.0,6.0,P. kara,Brick,All amenities,138000.0,56.9591749,24.1222544
For sale,Citi,Rusova 7,2,37.0,2.0,5.0,Jaun.,Masonry,All amenities,71000.0,56.9888255,24.16916595840236
For sale,Citi,Rusova 7,2,38.0,1.0,5.0,Jaun.,Masonry,All amenities,76000.0,56.9888255,24.16916595840236
For sale,Pļavnieki,Jasmuižas 1,3,102.0,6.0,12.0,Specpr.,Brick,All amenities,160000.0,56.9375255,24.2061416
For sale,Vecrīga,Jēkaba 26/28,4,123.0,3.0,5.0,P. kara,Masonry,All amenities,272600.0,56.952698,24.105147100000003
For sale,Ķengarags,Aglonas 16,3,61.0,5.0,5.0,LT proj.,Panel,All amenities,59500.0,56.9101647,24.18655327153561
For sale,Ķengarags,Prūšu 4,2,43.0,2.0,5.0,Jaun.,Panel,All amenities,53550.0,56.914674700000006,24.18150793464188
For sale,Sarkandaugava,Sarkandaugavas 26,1,29.0,3.0,5.0,Hrušč.,Brick,All amenities,23000.0,57.0021488,24.1248028
For sale,Mežciems,Biķernieku 160,3,77.0,3.0,5.0,Jaun.,Panel-Brick,All amenities,134000.0,56.9569585,24.2536804
For sale,Imanta,Kurzemes pr. 68,2,39.0,3.0,5.0,LT proj.,Panel,All amenities,34900.0,56.9567829,24.0344957
For sale,centrs,Ausekļa 2,3,67.0,5.0,5.0,P. kara,Masonry,All amenities,180000.0,56.9597157,24.100350262368465
For sale,Vecmīlgrāvis,Meldru 4,2,45.0,3.0,5.0,Hrušč.,Brick,All amenities,35000.0,57.027858900000005,24.1029177
For sale,Zolitūde,Irlavas 2,1,39.0,2.0,3.0,Specpr.,Masonry,All amenities,38700.0,56.9368446,24.04000326756055
For sale,Ziepniekkalns,Valdeķu 62,3,62.0,4.0,9.0,602.,Panel,All amenities,60000.0,56.90102635,24.093994112790323
For sale,Citi,"Silikātu iela 1 k-2, Rīga",2,34.0,4.0,4.0,Hrušč.,Brick-Panel,All amenities,24000.0,57.0279431,24.04406362741088
For sale,centrs,Valdemāra 57,4,94.0,3.0,7.0,P. kara,Masonry,All amenities,210000.0,56.960378000000006,24.1197764
For sale,Jugla,Murjāņu 36,2,47.0,2.0,5.0,Hrušč.,Brick,All amenities,37500.0,56.97863375,24.247480052995385
For sale,Ziepniekkalns,Bātas 3a,3,145.0,3.0,4.0,Jaun.,Panel,All amenities,189805.0,56.90785995,24.085734
For sale,Purvciems,Stirnu 53,3,60.0,5.0,5.0,LT proj.,Panel,All amenities,42999.0,56.9636426,24.19365476584691
For sale,Jugla,Murjāņu 52,2,47.0,5.0,5.0,LT proj.,Panel,All amenities,33500.0,56.9778104,24.25133990899673
For sale,Citi,Lielupes 1/1,3,74.0,1.0,2.0,Staļina,Brick,All amenities,45000.0,57.0381797,24.0479802
For sale,Sarkandaugava,Kadiķu 3,1,33.0,2.0,2.0,Renov.,Brick,All amenities,29600.0,56.99844075,24.11982759128596
For sale,centrs,Bruņinieku 78,2,50.0,4.0,4.0,P. kara,Masonry,All amenities,35000.0,56.95086155,24.14187365174744
For sale,Āgenskalns,"Grīna bulvāris 9, Rīga",3,58.0,4.0,5.0,Specpr.,Brick,All amenities,64000.0,56.94006005,24.0805879160504
For sale,Āgenskalns,Ormaņu 27,2,40.0,1.0,2.0,P. kara,Wood,Partial amenities,33000.0,56.9393754,24.0705981
For sale,Citi,Gravas 17,3,91.0,1.0,5.0,Jaun.,Panel,All amenities,96000.0,56.9051509,24.22958879775552
For sale,centrs,M. Matīsa 3,1,21.0,1.0,5.0,Staļina,Brick,All amenities,18500.0,56.9437711,24.158132657072887
For sale,Pļavnieki,Tīnūžu 12,4,73.0,3.0,9.0,467.,Panel,All amenities,65000.0,56.93399695,24.2075576
For sale,Iļģuciems,Vaidelotes 26,1,28.0,3.0,5.0,Hrušč.,Brick,All amenities,24000.0,56.96648980000001,24.0486124
For sale,Purvciems,Brantkalna 13,3,79.0,2.0,9.0,119.,Panel,All amenities,76000.0,56.94971275,24.1947291
For sale,centrs,Dzirnavu 107,2,30.0,1.0,4.0,P. kara,Brick,All amenities,65000.0,56.9508474,24.1241128
For sale,Jugla,Salamandras 3,1,44.0,2.0,7.0,Specpr.,Brick,All amenities,40000.0,56.9933665,24.2300646
For sale,centrs,Čaka 68,3,59.0,2.0,6.0,P. kara,Brick,All amenities,80000.0,56.9555119,24.135235100000003
For sale,Āgenskalns,Kuldīgas 32,4,112.0,3.0,6.0,Renov.,Masonry,All amenities,145000.0,56.9474705,24.0604076
For sale,centrs,Hospitāļu 22,5,138.0,4.0,4.0,P. kara,Masonry,All amenities,168000.0,56.97311445,24.13780801965092
For sale,Vecrīga,M. Smilšu 11,1,18.0,2.0,4.0,P. kara,Masonry,All amenities,44500.0,56.95014635,24.109260730515818
For sale,Imanta,Akāciju 2e,3,60.0,7.0,9.0,Jaun.,Panel,All amenities,104949.0,56.9518586,24.004945679155327
For sale,Imanta,Akāciju 2d,4,78.0,8.0,9.0,Jaun.,Panel,All amenities,133722.0,56.95141320000001,24.00387617537462
For sale,Imanta,Akāciju 2d,2,51.0,6.0,9.0,Jaun.,Panel,All amenities,87365.0,56.95141320000001,24.00387617537462
For sale,Imanta,Akāciju 2e,4,78.0,5.0,9.0,Jaun.,Panel,All amenities,130203.0,56.9518586,24.004945679155327
For sale,Imanta,Akāciju 2d,4,78.0,6.0,9.0,Jaun.,Panel,All amenities,130985.0,56.95141320000001,24.00387617537462
For sale,Imanta,Akāciju 2d,2,45.0,7.0,9.0,Jaun.,Panel,All amenities,79502.0,56.95141320000001,24.00387617537462
For sale,Citi,Traleru 19,1,36.0,5.0,5.0,103.,Brick-Panel,All amenities,31000.0,57.0621312,24.054251500000003
For sale,Ķengarags,Ikšķiles 4,2,45.0,4.0,5.0,LT proj.,Panel,All amenities,45000.0,56.90080385,24.20703229999999
For sale,Purvciems,Dzelzavas 71,2,50.0,7.0,9.0,467.,Panel,All amenities,43000.0,56.95622285,24.19811369525425
For sale,Purvciems,Dudajeva g. 4,2,50.0,5.0,5.0,LT proj.,Panel,All amenities,45000.0,56.9570069,24.1987368
For sale,Pļavnieki,Jasmuižas 1,4,113.0,12.0,12.0,Specpr.,Brick,All amenities,109000.0,56.9375255,24.2061416
For sale,Ķengarags,Ķengaraga 8,3,62.0,3.0,5.0,Jaun.,Panel-Brick,All amenities,101200.0,56.91588075,24.16577763486985
For sale,Āgenskalns,Slokas 31,4,137.0,1.0,4.0,Renov.,Masonry,Partial amenities,259737.0,56.94814375,24.071935578798712
For sale,Āgenskalns,Mārtiņa 8c,4,137.0,1.0,4.0,Renov.,Masonry,All amenities,259737.0,56.9483988,24.072228600000003
For sale,Āgenskalns,Ernestīnes 8,3,91.0,2.0,3.0,Jaun.,Masonry,All amenities,145000.0,56.9425629,24.07268567832425
For sale,centrs,Ģertrūdes 99,2,37.0,3.0,6.0,P. kara,Masonry,All amenities,45000.0,56.94999685,24.136413900628373
For sale,Ziepniekkalns,Dignājas 1a,3,65.0,2.0,4.0,Jaun.,Masonry,All amenities,101693.0,56.9126889,24.1234641
For sale,Citi,Skultes 5,2,55.0,3.0,3.0,Jaun.,Masonry,All amenities,64000.0,56.9849578,24.18313399723757
For sale,Purvciems,Biķernieku 49,3,55.0,1.0,5.0,Hrušč.,Panel-Brick,All amenities,43900.0,56.96977985,24.180475776100945
For sale,Šampēteris-Pleskodāle,Ventspils 65a,1,37.0,1.0,3.0,Renov.,Brick,All amenities,35000.0,56.93551360000001,24.0425072
For sale,centrs,Dzirnavu 60,2,74.0,4.0,5.0,P. kara,Masonry,All amenities,143000.0,56.9544354,24.1200833
For sale,Mežciems,Kaivas 29,3,80.0,2.0,5.0,Jaun.,Panel-Brick,All amenities,140000.0,56.9503372,24.24451410156045
For sale,centrs,Avotu 7,4,153.0,5.0,6.0,P. kara,Masonry,All amenities,160000.0,56.9509444,24.12835777122905
For sale,centrs,Čaka 63,4,90.0,2.0,5.0,P. kara,Masonry,All amenities,116000.0,56.9556401,24.13449260640061
For sale,Citi,"Čiekurkalna 2. līnija 49a, Rīga",1,30.0,5.0,5.0,Jaun.,Masonry,All amenities,43900.0,56.98571305,24.17765785111966
For sale,Ķengarags,Višķu 15,2,48.0,1.0,5.0,LT proj.,Panel,All amenities,40000.0,56.90015325,24.211925772526392
For sale,Purvciems,Pūces 51,3,63.0,5.0,9.0,602.,Panel,All amenities,68000.0,56.95350215000001,24.192131770328075
