op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,Citi,Silikātu 1k2,2,44.0,1.0,3.0,Hrušč.,Brick,All amenities,35400.0,57.0272671,24.0389108
For sale,Ziepniekkalns,Staburaga 3,2,48.0,3.0,3.0,Hrušč.,Brick,All amenities,65000.0,56.91116745,24.11631975
For sale,Ķengarags,Maskavas 279,3,55.0,5.0,5.0,LT proj.,Brick,All amenities,43000.0,56.91925545,24.173829491186872
For sale,Purvciems,Madonas 19,1,46.0,6.0,9.0,119.,Panel,All amenities,43500.0,56.96043465,24.17048602078153
For sale,Purvciems,Brantkalna 12,3,76.0,8.0,9.0,119.,Panel,All amenities,88000.0,56.9491644,24.1939752
For sale,Purvciems,Nīcgales 36,3,82.0,4.0,5.0,Jaun.,Masonry,All amenities,98000.0,56.9505884,24.1734239
For sale,Citi,Krustpils 75,2,49.0,3.0,3.0,Specpr.,Brick,All amenities,35000.0,56.91205765,24.2063673
For sale,Dārzciems,Lubānas 56,3,61.0,7.0,9.0,467.,Panel,All amenities,59500.0,56.93144315,24.17575690022965
For sale,Sarkandaugava,"Viestura prospekts 95, Rīga",2,43.0,5.0,11.0,Jaun.,Brick-Panel,All amenities,74900.0,57.00930605,24.128020793089696
For sale,Ziepniekkalns,Valdeķu 54,3,62.0,8.0,9.0,602.,Panel,All amenities,75000.0,56.9094064,24.0954157
For sale,Pļavnieki,Dravnieku 13,3,64.0,7.0,9.0,602.,Panel,All amenities,59000.0,56.94404435,24.21522315
For sale,Ķengarags,Maskavas 260,2,47.0,4.0,5.0,LT proj.,Panel,All amenities,41000.0,56.8597884,24.3083417
For sale,centrs,Valdemāra 89,3,104.0,5.0,5.0,P. kara,Masonry,All amenities,130000.0,56.96383885,24.125864667915483
For sale,Sarkandaugava,Limbažu 4/1,2,45.6,5.0,5.0,Hrušč.,Panel,All amenities,51500.0,57.0004355,24.1207347
For sale,Imanta,Dumbrāja 18,3,68.0,3.0,4.0,Jaun.,Panel,All amenities,110000.0,56.95698695,24.0186127580713
For sale,centrs,Čaka 33,2,47.0,6.0,7.0,Renov.,Masonry,All amenities,95000.0,56.9521436,24.1276865
For sale,Purvciems,Purvciema 26,3,79.0,9.0,9.0,119.,Panel,All amenities,71000.0,56.95343085,24.173465900000004
For sale,Teika,Vidrižu 4,4,95.0,1.0,9.0,Specpr.,Brick-Panel,All amenities,85000.0,56.9788671,24.1774824079002
For sale,Dzegužkalns,Jaunsaules 18,2,48.0,2.0,5.0,LT proj.,Panel,All amenities,42000.0,56.95476665,24.04792874999999
For sale,Pļavnieki,Jasmuižas 13,4,75.0,3.0,8.0,467.,Panel,All amenities,69950.0,56.9367253,24.212928100000003
For sale,Ziepniekkalns,Bērzlapu 2,2,57.0,3.0,16.0,104.,Panel,All amenities,70000.0,56.9052096,24.08455345086175
For sale,Citi,"Čiekurkalna 5. šķērslīnija 1, Rīga",1,29.6,2.0,2.0,Priv. m.,Wood,All amenities,22000.0,56.9818114,24.174131320435663
For sale,Mežciems,Celmu 5,2,50.0,3.0,5.0,LT proj.,Panel,All amenities,49800.0,56.9736358,24.233530915029387
For sale,centrs,Brīvības iela 136,2,43.0,1.0,5.0,P. kara,Masonry,All amenities,48000.0,56.9636061,24.1388658
For sale,Dārzciems,Stopiņu 12,1,37.0,1.0,1.0,Priv. m.,Brick,All amenities,22000.0,56.948532400000005,24.1730688
For sale,centrs,Vārnu 8,2,56.0,1.0,6.0,P. kara,Brick,All amenities,78800.0,56.95811035,24.148761165178566
For sale,Vecrīga,Kungu 25,3,138.0,3.0,6.0,Jaun.,Masonry,All amenities,275000.0,56.9453382,24.109463953308826
For sale,Zolitūde,Priedaines 13,1,56.0,1.0,4.0,Jaun.,Brick-Panel,All amenities,78000.0,56.94258129999999,24.01565897529245
For sale,Citi,Lēpju 13,2,54.0,3.0,5.0,103.,Brick-Panel,All amenities,34000.0,57.038959,24.022054838957786
For sale,Citi,Spirgus 4,2,47.0,2.0,2.0,Renov.,Wood,All amenities,75000.0,56.921482700000006,24.0696882
For sale,Purvciems,Nīcgales 4,2,50.0,4.0,9.0,602.,Panel,All amenities,59500.0,56.95855255,24.175316327579107
For sale,Mežaparks,"Viestura prospekts 16, Rīga",3,60.0,3.0,9.0,467.,Panel,All amenities,65000.0,57.01779635,24.13179245
For sale,centrs,Birznieka-Upīša 18a,3,70.0,3.0,7.0,Renov.,Masonry,All amenities,155000.0,56.9491897,24.1285
For sale,centrs,Rūdolfa 1,1,30.0,3.0,6.0,P. kara,Brick,All amenities,58000.0,56.9620224,24.15219394772615
For sale,Citi,Berģu 17,2,51.0,1.0,2.0,Jaun.,Masonry,All amenities,75900.0,56.9997624,24.2761911
For sale,Dzegužkalns,Lielezeres 10,3,65.0,5.0,5.0,Jaun.,Masonry,All amenities,94000.0,56.95924805,24.05520227419608
For sale,Dzegužkalns,Lielezeres 10,3,62.0,5.0,5.0,Jaun.,Masonry,All amenities,93150.0,56.95924805,24.05520227419608
For sale,Dzegužkalns,Lielezeres 10,3,85.0,5.0,5.0,Jaun.,Masonry,All amenities,117000.0,56.95924805,24.05520227419608
For sale,Dzegužkalns,Lielezeres 10,2,58.0,5.0,5.0,Jaun.,Masonry,All amenities,87000.0,56.95924805,24.05520227419608
For sale,centrs,Lugažu 14,1,24.0,3.0,3.0,Staļina,Brick,All amenities,22500.0,56.97501495,24.106644609248
For sale,centrs,Klijānu 6,3,52.0,6.0,9.0,Jaun.,Panel-Brick,All amenities,79800.0,56.9726557,24.149311721285123
For sale,Purvciems,Ieriķu 33,3,60.0,5.0,5.0,LT proj.,Panel,All amenities,55499.0,56.96662215,24.178668525371137
For sale,Ķengarags,Maskavas 250/6,3,60.0,2.0,5.0,LT proj.,Panel,All amenities,40000.0,56.887204,24.2335864
For sale,Ķengarags,Lokomotīves 88,3,61.0,4.0,5.0,LT proj.,Panel,All amenities,49200.0,56.90193410000001,24.213842727808466
For sale,Mežciems,Kaivas 50/1,3,74.0,1.0,5.0,Jaun.,Brick-Panel,All amenities,92750.0,56.9541725,24.2443253
For sale,Mežciems,Kaivas 50/1,4,113.0,3.0,5.0,Jaun.,Brick-Panel,All amenities,141375.0,56.9541725,24.2443253
For sale,centrs,Valdemāra 37,3,78.0,4.0,6.0,Renov.,Masonry,All amenities,159732.0,56.958482,24.116859
For sale,Pļavnieki,Dzeņu 8,1,41.0,3.0,5.0,M. ģim.,Panel,All amenities,30500.0,56.9396024,24.21101315
For sale,centrs,Blaumaņa 12,3,63.2,2.0,6.0,Renov.,Masonry,All amenities,164320.0,56.9548306,24.1221141
For sale,Zolitūde,Anniņmuižas 2 b,4,91.0,1.0,9.0,119.,Panel,All amenities,79500.0,56.957595700000006,24.0238997
For sale,Ķengarags,Lokomotīves 46,2,39.0,2.0,5.0,LT proj.,Brick-Panel,All amenities,30000.0,56.90929355,24.20023458271737
For sale,Citi,Biķernieku 218,3,66.0,2.0,5.0,103.,Brick-Panel,All amenities,43000.0,56.95765645,24.29116442484242
For sale,Jugla,Silciema 5,3,58.0,2.0,5.0,Hrušč.,Panel,All amenities,45000.0,56.988253500000006,24.237895432886905
For sale,centrs,Pērnavas 43,3,54.0,3.0,6.0,P. kara,Brick,Partial amenities,51300.0,56.954919,24.1536554
For sale,Mežciems,Kaivas 50/1,2,64.0,2.0,5.0,Jaun.,Brick-Panel,All amenities,79500.0,56.9541725,24.2443253
For sale,centrs,Zvaigžņu 24,2,29.0,3.0,7.0,P. kara,Masonry,All amenities,44900.0,56.9607411,24.1497716
For sale,centrs,Valdemāra 37,3,78.0,4.0,6.0,Renov.,Masonry,All amenities,159732.0,56.958482,24.116859
For sale,Teika,Bērzpils 1,2,45.0,1.0,5.0,Hrušč.,Brick,All amenities,37000.0,56.97918625,24.1706639381423
For sale,Mežciems,Hipokrāta 17,3,62.0,6.0,9.0,602.,Panel,All amenities,61000.0,56.96614945,24.23733307860186
For sale,Āgenskalns,Kuldīgas 10,1,21.0,2.0,2.0,Specpr.,Wood,Partial amenities,11700.0,56.9517628,24.067348709240814
For sale,Teika,Apes 5,2,46.0,1.0,5.0,Specpr.,Brick,All amenities,44300.0,56.97749205,24.17449723629064
For sale,Āgenskalns,Gregora 8,1,33.0,5.0,9.0,467.,Panel,All amenities,38000.0,56.94528149999999,24.051249567378232
For sale,Dzegužkalns,Daugavgrīvas 74a,1,21.0,7.0,9.0,Specpr.,Brick,All amenities,27500.0,56.95845485,24.069391909366622
For sale,Ziepniekkalns,Ozolciema 32,1,32.0,9.0,9.0,602.,Panel,All amenities,32500.0,56.89979805,24.098350150000005
For sale,Purvciems,Ilūkstes 467,1,32.0,4.0,9.0,467.,Panel,All amenities,32000.0,56.94058670000001,24.1951866
For sale,Purvciems,Dzelzavas 79,4,75.0,6.0,9.0,467.,Panel,All amenities,65000.0,56.95684165,24.200512350000004
For sale,Ziepniekkalns,Līvciema 9,3,75.0,3.0,7.0,Specpr.,Panel,All amenities,78000.0,56.909571850000006,24.097641602805066
For sale,Āgenskalns,Kuldīgas 10,1,17.0,2.0,2.0,Specpr.,Wood,Partial amenities,10000.0,56.9517628,24.067348709240814
For sale,centrs,Tomsona 23,3,58.0,2.0,5.0,Hrušč.,Brick,All amenities,73000.0,56.96530735,24.12625789277017
For sale,Imanta,Kurzemes pr. 68,2,39.0,3.0,5.0,LT proj.,Panel,All amenities,34900.0,56.9567829,24.0344957
For sale,Iļģuciems,Lilijas 22,3,84.0,2.0,4.0,Jaun.,Brick-Panel,All amenities,145000.0,56.96504035,24.06178179173675
For sale,Imanta,Dumbrāja 18,3,68.0,3.0,4.0,Jaun.,Panel-Brick,All amenities,110000.0,56.95698695,24.0186127580713
For sale,Iļģuciems,Saulgožu 19,2,43.0,3.0,5.0,Hrušč.,Masonry,All amenities,35000.0,56.9678207,24.0484273830414
For sale,centrs,Ganu 4,5,145.0,4.0,5.0,P. kara,Masonry,All amenities,220000.0,56.96145915,24.109292804099898
For sale,Citi,Rītupes 28,3,59.0,9.0,9.0,467.,Panel,All amenities,58500.0,56.9281595,24.1723166
For sale,Sarkandaugava,Sofijas 4,1,26.0,2.0,5.0,Hrušč.,Brick,All amenities,29800.0,56.99858605,24.120879239275123
For sale,Iļģuciems,Motoru 7,1,27.0,1.0,5.0,LT proj.,Panel,All amenities,32000.0,56.97008835,24.066817583075583
For sale,Citi,Birzes 42,2,53.0,5.0,5.0,103.,Brick-Panel,All amenities,34980.0,57.03644015,24.02766502475527
For sale,Mežciems,Hipokrāta 11,1,46.0,8.0,16.0,104.,Panel,All amenities,45000.0,56.96714889999999,24.237550902552748
For sale,centrs,Barona 25,4,99.0,6.0,6.0,P. kara,Brick,Partial amenities,95000.0,56.95275039999999,24.124026
For sale,Purvciems,Purvciema 13,1,46.0,8.0,12.0,104.,Panel,All amenities,52000.0,56.95341415,24.1672841
For sale,centrs,Avotu 4,1,23.0,2.0,5.0,Renov.,Masonry,All amenities,38500.0,56.95081629999999,24.1271389
For sale,Vecmīlgrāvis,Melīdas 1/15,2,52.0,5.0,5.0,LT proj.,Panel,All amenities,33000.0,57.0326345,24.1122608
