id,country,city,district,address,rooms,area,floor,series,price,price_per_meter,has_geocode,latt,longt,stnumber,staddress,created,last_seen
35,Latvia,Riga,Purvciems,Stirnu 57,2,44.0,1,Lietuviešu projekts,47900.0,1088.64,1,56.96472,24.1921,57.0,Stirnu iela,2019-06-07 08:01:38,2019-06-16 08:01:10
36,Latvia,Riga,Centrs,Skolas 20,3,99.0,3,Jaunais projekts,260000.0,2626.26,1,56.9581,24.11952,20.0,Skolas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
37,Latvia,Riga,Āgenskalns,Melnsila 21,2,41.0,2,Hruščova projekts,43000.0,1048.78,1,56.94501,24.06433,21.0,Melnsila iela,2019-06-07 08:01:38,2019-06-16 08:01:11
38,Latvia,Riga,Imanta,M. Krūmu 18,2,50.0,9,602. sērija,47500.0,950.0,1,56.96108,24.00385,18.0,Mazā Krūmu iela,2019-06-07 08:01:38,2019-06-16 08:01:10
39,Latvia,Riga,Sarkandaugava,Tvaika 24,3,70.0,5,103. sērija,66500.0,950.0,1,57.00116,24.11861,24.0,Tvaika iela,2019-06-07 08:01:38,2019-06-13 08:01:36
40,Latvia,Riga,Purvciems,Viršu 7,2,59.0,2,119. sērija,53000.0,898.31,1,56.95197,24.17878,7.0,Viršu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
41,Latvia,Riga,Ziepniekkalns,Svētes 1,3,99.0,1,Jaunais projekts,164000.0,1656.57,1,56.91525,24.09482,1.0,Svētes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
43,Latvia,Riga,Centrs,Stabu 46,3,74.0,3,Pirmskara projekts,135000.0,1824.32,1,56.95459,24.13173,46.0,Stabu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
45,Latvia,Riga,Āgenskalns,Mūkusalas 25,3,61.0,6,Jaunais projekts,155000.0,2540.98,1,56.93753,24.10056,25.0,Mūkusalas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
47,Latvia,Riga,Āgenskalns,Gregora 4,1,30.0,5,Lietuviešu projekts,29500.0,983.33,1,56.94535,24.052,4.0,Gregora iela,2019-06-07 08:01:38,2019-06-16 08:01:11
48,Latvia,Riga,Purvciems,Andromedas g. 12,3,54.0,1,Lietuviešu projekts,58150.0,1076.85,1,56.95745,24.20126,12.0,Andromedas gatve,2019-06-07 08:01:38,2019-06-16 08:01:11
49,Latvia,Riga,Ziepniekkalns,Ozolciema 54,1,44.0,4,Mazģimeņu projekts,37500.0,852.27,1,56.90138,24.0998,54.0,Ozolciema iela,2019-06-07 08:01:38,2019-06-16 08:01:11
51,Latvia,Riga,Bolderāja,Lemešu 3,3,66.0,2,Lietuviešu projekts,39000.0,590.91,1,57.03375,24.05749,3.0,Lemešu iela,2019-06-07 08:01:38,2019-06-09 08:01:43
52,Latvia,Riga,Purvciems,Deglava 106,4,99.0,9,119. sērija,103000.0,1040.4,1,56.94811,24.19022,106.0,Augusta Deglava iela,2019-06-07 08:01:38,2019-06-16 08:01:11
53,Latvia,Riga,Centrs,Valmieras 39,1,31.0,2,Pirmskara projekts,28500.0,919.35,1,56.95079,24.14854,39.0,Valmieras iela,2019-06-07 08:01:38,2019-06-16 08:01:10
54,Latvia,Riga,Āgenskalns,Vienības g. 44,3,59.0,2,Privātmāja,26000.0,440.68,1,56.92549,24.09049,44.0,Vienības gatve,2019-06-07 08:01:38,2019-06-16 08:01:11
55,Latvia,Riga,Purvciems,Pūces 43,3,151.0,10,Jaunais projekts,235000.0,1556.29,1,56.95307,24.18944,43.0,Pūces iela,2019-06-07 08:01:38,2019-06-16 08:01:11
57,Latvia,Riga,Centrs,Antonijas 12,5,166.0,4,Pirmskara projekts,435000.0,2620.48,1,56.95859,24.11222,12.0,Antonijas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
58,Latvia,Riga,Imanta,Zentenes 3,3,63.0,1,602. sērija,57000.0,904.76,1,56.95825,24.00801,3.0,Zentenes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
61,Latvia,Riga,Purvciems,Ūnijas 30,2,47.0,5,103. sērija,52000.0,1106.38,1,56.97024,24.16152,4.0,Ūnijas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
62,Latvia,Riga,Maskavas priekšpilsēta,Katoļu 2,2,41.0,2,Pirmskara projekts,19700.0,480.49,1,56.94026,24.13758,2.0,Katoļu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
64,Latvia,Riga,Centrs,Avotu 20,3,110.0,2,Pirmskara projekts,119900.0,1090.0,1,56.95046,24.13101,20.0,Avotu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
66,Latvia,Riga,Ziepniekkalns,Valdeķu 64,1,41.0,3,Mazģimeņu projekts,32500.0,792.68,1,56.90047,24.09389,64.0,Valdeķu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
67,Latvia,Riga,Citi,Vabu 17,3,104.0,1,Jaunais projekts,80000.0,769.23,1,57.06956,24.09514,17.0,Vabu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
68,Latvia,Riga,Centrs,Muitas 1,3,105.0,2,Jaunais projekts,289000.0,2752.38,1,56.95419,24.10131,1.0,Muitas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
69,Latvia,Riga,Centrs,Pulkv. Brieža 7,2,58.0,2,Pirmskara projekts,165000.0,2844.83,1,56.95985,24.10527,7.0,Pulkveža Brieža iela,2019-06-07 08:01:38,2019-06-16 08:01:11
71,Latvia,Riga,Centrs,Valmieras 6,1,34.0,2,Pirmskara projekts,29900.0,879.41,1,56.94846,24.14497,6.0,Valmieras iela,2019-06-07 08:01:38,2019-06-16 08:01:11
72,Latvia,Riga,Citi,Albatrosu 22,1,34.0,4,Specprojekts,24500.0,720.59,1,57.05259,24.06746,22.0,Albatrosu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
73,Latvia,Riga,Centrs,Republikas laukums 3,1,40.0,3,Jaunais projekts,112000.0,2800.0,1,56.95495,24.09919,3.0,Republikas laukums,2019-06-07 08:01:38,2019-06-16 08:01:11
74,Latvia,Riga,Centrs,Grostonas 17,2,65.0,1,Jaunais projekts,135000.0,2076.92,1,56.96999,24.12392,17.0,Grostonas iela,2019-06-07 08:01:38,2019-06-16 08:01:10
