id,country,city,district,address,rooms,area,floor,series,price,price_per_meter,has_geocode,latt,longt,stnumber,staddress,created,last_seen
30,Latvia,Riga,Centrs,Ganību d. 13,4,85.00,5,103. sērija,100000.00,1176.47,1,56.9736000000,24.1093600000,13,Ganību dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
31,Latvia,Riga,Centrs,Ģertrūdes 57A,1,24.00,2,Pirmskara projekts,19900.00,829.17,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
32,Latvia,Riga,Centrs,Pērnavas 6/8,2,67.00,4,Staļina projekts,98900.00,1476.12,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
33,Latvia,Riga,Centrs,Silmaču 1,2,43.00,1,Jaunais projekts,84120.00,1956.28,1,56.9688200000,24.1480000000,1,Silmaču iela,2019-06-07 08:01:38,2019-06-16 08:01:11
34,Latvia,Riga,Centrs,Silmaču 1,2,50.00,1,Jaunais projekts,95280.00,1905.60,1,56.9688200000,24.1480000000,1,Silmaču iela,2019-06-07 08:01:38,2019-06-16 08:01:11
35,Latvia,Riga,Purvciems,Stirnu 57,2,44.00,1,Lietuviešu projekts,47900.00,1088.64,1,56.9647200000,24.1921000000,57,Stirnu iela,2019-06-07 08:01:38,2019-06-16 08:01:10
36,Latvia,Riga,Centrs,Skolas 20,3,99.00,3,Jaunais projekts,260000.00,2626.26,1,56.9581000000,24.1195200000,20,Skolas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
37,Latvia,Riga,Āgenskalns,Melnsila 21,2,41.00,2,Hruščova projekts,43000.00,1048.78,1,56.9450100000,24.0643300000,21,Melnsila iela,2019-06-07 08:01:38,2019-06-16 08:01:11
38,Latvia,Riga,Imanta,M. Krūmu 18,2,50.00,9,602. sērija,47500.00,950.00,1,56.9610800000,24.0038500000,18,Mazā Krūmu iela,2019-06-07 08:01:38,2019-06-16 08:01:10
39,Latvia,Riga,Sarkandaugava,Tvaika 24,3,70.00,5,103. sērija,66500.00,950.00,1,57.0011600000,24.1186100000,24,Tvaika iela,2019-06-07 08:01:38,2019-06-13 08:01:36
40,Latvia,Riga,Purvciems,Viršu 7,2,59.00,2,119. sērija,53000.00,898.31,1,56.9519700000,24.1787800000,7,Viršu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
41,Latvia,Riga,Ziepniekkalns,Svētes 1,3,99.00,1,Jaunais projekts,164000.00,1656.57,1,56.9152500000,24.0948200000,1,Svētes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
42,Latvia,Riga,Daugavgrīva,Parādes 1А,2,47.00,2,Pirmskara projekts,18500.00,393.62,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
43,Latvia,Riga,Centrs,Stabu 46,3,74.00,3,Pirmskara projekts,135000.00,1824.32,1,56.9545900000,24.1317300000,46,Stabu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
44,Latvia,Riga,Pļavnieki,Lubānas 56А,3,65.00,1,602. sērija,56700.00,872.31,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
45,Latvia,Riga,Āgenskalns,Mūkusalas 25,3,61.00,6,Jaunais projekts,155000.00,2540.98,1,56.9375300000,24.1005600000,25,Mūkusalas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
46,Latvia,Riga,Centrs,11. novembra krastm. 2,2,49.00,3,Jaunais projekts,115000.00,2346.94,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
47,Latvia,Riga,Āgenskalns,Gregora 4,1,30.00,5,Lietuviešu projekts,29500.00,983.33,1,56.9453500000,24.0520000000,4,Gregora iela,2019-06-07 08:01:38,2019-06-16 08:01:11
48,Latvia,Riga,Purvciems,Andromedas g. 12,3,54.00,1,Lietuviešu projekts,58150.00,1076.85,1,56.9574500000,24.2012600000,12,Andromedas gatve,2019-06-07 08:01:38,2019-06-16 08:01:11
49,Latvia,Riga,Ziepniekkalns,Ozolciema 54,1,44.00,4,Mazģimeņu projekts,37500.00,852.27,1,56.9013800000,24.0998000000,54,Ozolciema iela,2019-06-07 08:01:38,2019-06-16 08:01:11
50,Latvia,Riga,Purvciems,Ūnijas 70/1,3,112.00,4,Jaunais projekts,160000.00,1428.57,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
51,Latvia,Riga,Bolderāja,Lemešu 3,3,66.00,2,Lietuviešu projekts,39000.00,590.91,1,57.0337500000,24.0574900000,3,Lemešu iela,2019-06-07 08:01:38,2019-06-09 08:01:43
52,Latvia,Riga,Purvciems,Deglava 106,4,99.00,9,119. sērija,103000.00,1040.40,1,56.9481100000,24.1902200000,106,Augusta Deglava iela,2019-06-07 08:01:38,2019-06-16 08:01:11
53,Latvia,Riga,Centrs,Valmieras 39,1,31.00,2,Pirmskara projekts,28500.00,919.35,1,56.9507900000,24.1485400000,39,Valmieras iela,2019-06-07 08:01:38,2019-06-16 08:01:10
54,Latvia,Riga,Āgenskalns,Vienības g. 44,3,59.00,2,Privātmāja,26000.00,440.68,1,56.9254900000,24.0904900000,44,Vienības gatve,2019-06-07 08:01:38,2019-06-16 08:01:11
55,Latvia,Riga,Purvciems,Pūces 43,3,151.00,10,Jaunais projekts,235000.00,1556.29,1,56.9530700000,24.1894400000,43,Pūces iela,2019-06-07 08:01:38,2019-06-16 08:01:11
56,Latvia,Riga,Centrs,Lāčplēša 11,4,142.00,5,Jaunais projekts,743838.00,5238.30,1,56.9570100000,24.1204100000,11,Lāčplēša iela,2019-06-07 08:01:38,2019-06-16 08:01:11
57,Latvia,Riga,Centrs,Antonijas 12,5,166.00,4,Pirmskara projekts,435000.00,2620.48,1,56.9585900000,24.1122200000,12,Antonijas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
58,Latvia,Riga,Imanta,Zentenes 3,3,63.00,1,602. sērija,57000.00,904.76,1,56.9582500000,24.0080100000,3,Zentenes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
59,Latvia,Riga,Klīversala,Raņķa d. 7/2,1,30.00,1,Hruščova projekts,37000.00,1233.33,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
60,Latvia,Riga,Vecmīlgrāvis,Vecmīlgrāvja 1. l. 8,1,20.00,1,Staļina projekts,7900.00,395.00,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
61,Latvia,Riga,Purvciems,Ūnijas 30,2,47.00,5,103. sērija,52000.00,1106.38,1,56.9702400000,24.1615200000,4,Ūnijas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
62,Latvia,Riga,Maskavas priekšpilsēta,Katoļu 2,2,41.00,2,Pirmskara projekts,19700.00,480.49,1,56.9402600000,24.1375800000,2,Katoļu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
63,Latvia,Riga,Ķengarags,Maskavas 260 k-5,1,31.00,3,Hruščova projekts,34500.00,1112.90,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
64,Latvia,Riga,Centrs,Avotu 20,3,110.00,2,Pirmskara projekts,119900.00,1090.00,1,56.9504600000,24.1310100000,20,Avotu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
65,Latvia,Riga,Krasta rajons,Salaspils 2 k-1,2,50.00,5,Hruščova projekts,49400.00,988.00,0,,,,,2019-06-07 08:01:38,2019-06-07 08:01:38
66,Latvia,Riga,Ziepniekkalns,Valdeķu 64,1,41.00,3,Mazģimeņu projekts,32500.00,792.68,1,56.9004700000,24.0938900000,64,Valdeķu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
67,Latvia,Riga,Vecāķi,Vabu 17,3,104.00,1,Jaunais projekts,80000.00,769.23,1,57.0695600000,24.0951400000,17,Vabu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
68,Latvia,Riga,Centrs,Muitas 1,3,105.00,2,Jaunais projekts,289000.00,2752.38,1,56.9541900000,24.1013100000,1,Muitas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
69,Latvia,Riga,Centrs,Pulkv. Brieža 7,2,58.00,2,Pirmskara projekts,165000.00,2844.83,1,56.9598500000,24.1052700000,7,Pulkveža Brieža iela,2019-06-07 08:01:38,2019-06-16 08:01:11
70,Latvia,Riga,Centrs,Valdemāra 106,6,301.00,8,Staļina projekts,490000.00,1627.91,1,56.9721600000,24.1349500000,106,Krišjāņa Valdemāra iela,2019-06-07 08:01:38,2019-06-16 08:01:11
71,Latvia,Riga,Centrs,Valmieras 6,1,34.00,2,Pirmskara projekts,29900.00,879.41,1,56.9484600000,24.1449700000,6,Valmieras iela,2019-06-07 08:01:38,2019-06-16 08:01:11
72,Latvia,Riga,Mangaļsala,Albatrosu 22,1,34.00,4,Specprojekts,24500.00,720.59,1,57.0525900000,24.0674600000,22,Albatrosu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
73,Latvia,Riga,Centrs,Republikas laukums 3,1,40.00,3,Jaunais projekts,112000.00,2800.00,1,56.9549500000,24.0991900000,3,Republikas laukums,2019-06-07 08:01:38,2019-06-16 08:01:11
74,Latvia,Riga,Centrs,Grostonas 17,2,65.00,1,Jaunais projekts,135000.00,2076.92,1,56.9699900000,24.1239200000,17,Grostonas iela,2019-06-07 08:01:38,2019-06-16 08:01:10
75,Latvia,Riga,Centrs,Krāsotāju 6B,1,20.00,3,Pirmskara projekts,12500.00,625.00,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
76,Latvia,Riga,Purvciems,Ilūkstes 42,3,78.00,7,119. sērija,75000.00,961.54,1,56.9484800000,24.1983000000,42,Ilūkstes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
77,Latvia,Riga,Vecrīga,Vāgnera 14,2,28.00,2,Pirmskara projekts,79000.00,2821.43,1,56.9486600000,24.1115700000,14,Riharda Vāgnera iela,2019-06-07 08:01:38,2019-06-16 08:01:11
78,Latvia,Riga,Zolitūde,Lejiņa 18,3,76.00,1,119. sērija,81000.00,1065.79,1,56.9472700000,24.0212400000,18,Paula Lejiņa iela,2019-06-07 08:01:38,2019-06-16 08:01:11
79,Latvia,Riga,Centrs,Lienes 27,2,55.00,1,Pirmskara projekts,37000.00,672.73,1,56.9520300000,24.1501500000,27,Lienes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
80,Latvia,Riga,Centrs,Lāčplēša 77,2,52.00,4,Pirmskara projekts,57200.00,1100.00,1,56.9495800000,24.1332900000,77,Lāčplēša iela,2019-06-07 08:01:38,2019-06-16 08:01:11
81,Latvia,Riga,Ziepniekkalns,Ozolciema 18,3,84.00,8,119. sērija,63000.00,750.00,1,56.8988300000,24.0850600000,18,Ozolciema iela,2019-06-07 08:01:38,2019-06-16 08:01:11
82,Latvia,Riga,Jugla,Ciemupes 1,2,102.00,2,Jaunais projekts,130000.00,1274.51,1,56.9880700000,24.2466900000,1,Ciemupes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
83,Latvia,Riga,Čiekurkalns,Rusova 32,1,40.00,4,Mazģimeņu projekts,29990.00,749.75,1,56.9862300000,24.1749100000,32,Rusova iela,2019-06-07 08:01:38,2019-06-16 08:01:10
84,Latvia,Riga,Purvciems,Brantkalna 11,3,75.00,5,119. sērija,82000.00,1093.33,1,56.9499900000,24.1927400000,11,Detlava Brantkalna iela,2019-06-07 08:01:38,2019-06-16 08:01:11
85,Latvia,Riga,Centrs,Avotu 73,3,83.00,2,Pirmskara projekts,123990.00,1493.86,1,56.9535400000,24.1449400000,73,Avotu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
86,Latvia,Riga,Mežaparks,Kokneses pr. 4 k-1,3,72.00,3,Jaunais projekts,126000.00,1750.00,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
87,Latvia,Riga,Ķengarags,Prūšu 22/3,1,30.00,4,Hruščova projekts,24900.00,830.00,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
88,Latvia,Riga,Vecmīlgrāvis,Vanadziņa g. 1,3,61.00,4,467. sērija,66000.00,1081.97,1,57.0324700000,24.1078000000,1,Vanadziņa gatve,2019-06-07 08:01:38,2019-06-16 08:01:11
89,Latvia,Riga,Jugla,Juglas 31,2,42.00,2,Staļina projekts,35400.00,842.86,1,56.9815700000,24.2518400000,31,Juglas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
90,Latvia,Riga,Imanta,Anniņmuižas 38,3,81.00,8,Jaunais projekts,118000.00,1456.79,1,56.9609700000,24.0156700000,38,Anniņmuižas bulvāris,2019-06-07 08:01:38,2019-06-16 08:01:11
91,Latvia,Riga,Ziepniekkalns,Zaļenieku 21к5,1,42.00,1,Jaunais projekts,62500.00,1488.10,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
92,Latvia,Riga,Centrs,Kalniņa 1,1,19.00,2,Renovēts,51490.00,2710.00,1,56.9493500000,24.1207500000,1,Alfrēda Kalniņa iela,2019-06-07 08:01:38,2019-06-13 08:01:36
93,Latvia,Riga,Centrs,Kalniņa 1,1,27.00,4,Renovēts,77690.00,2877.41,1,56.9493500000,24.1207500000,1,Alfrēda Kalniņa iela,2019-06-07 08:01:38,2019-06-16 08:01:10
94,Latvia,Riga,Centrs,Kalniņa 1,1,27.00,2,Renovēts,74590.00,2762.59,1,56.9493500000,24.1207500000,1,Alfrēda Kalniņa iela,2019-06-07 08:01:38,2019-06-13 08:01:36
95,Latvia,Riga,Purvciems,Dzelzavas 74/1,2,54.00,2,Jaunais projekts,88950.00,1647.22,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
96,Latvia,Riga,Centrs,Vīlandes 18,3,101.00,3,Pirmskara projekts,154025.00,1525.00,1,56.9618300000,24.1022500000,18,Vīlandes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
97,Latvia,Riga,Āgenskalns,Raņķa d. 9,3,115.00,6,Renovēts,178250.00,1550.00,1,56.9423200000,24.0886400000,9,Raņķa dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
98,Latvia,Riga,Pļavnieki,Jasmuižas 18 k-1,4,107.00,2,Jaunais projekts,127000.00,1186.92,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
99,Latvia,Riga,Centrs,Ģertrūdes 113,2,43.00,3,Pirmskara projekts,62000.00,1441.86,1,56.9487500000,24.1385600000,113,Ģertrūdes iela,2019-06-07 08:01:38,2019-06-16 08:01:10
100,Latvia,Riga,Zolitūde,Lejiņa 16,1,46.00,6,119. sērija,45500.00,989.13,1,56.9471200000,24.0230700000,16,Paula Lejiņa iela,2019-06-07 08:01:38,2019-06-16 08:01:10
101,Latvia,Riga,Sarkandaugava,Alekša 11,1,27.00,2,Pirmskara projekts,18000.00,666.67,1,56.9936000000,24.1247900000,11,Alekša iela,2019-06-07 08:01:38,2019-06-16 08:01:11
102,Latvia,Riga,Purvciems,Stirnu 15A,2,36.00,5,Lietuviešu projekts,35000.00,972.22,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
103,Latvia,Riga,Imanta,Dammes 1,3,62.00,8,602. sērija,53500.00,862.90,1,56.9610600000,24.0127000000,1,Dammes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
104,Latvia,Riga,Mežaparks,Ķempes 4,3,140.00,8,Jaunais projekts,199000.00,1421.43,1,56.9944700000,24.1662300000,4,Mirdzas Ķempes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
105,Latvia,Riga,Maskavas priekšpilsēta,Daugavpils 49,1,23.00,4,Pirmskara projekts,12000.00,521.74,1,56.9455500000,24.1408600000,49,Daugavpils iela,2019-06-07 08:01:38,2019-06-16 08:01:11
